Token Name,Ticker,Pair,Symbol,Price Change,% Change,Last Price,Volume,Quote Volume,High,Low,Open Price,Bid Price,Ask Price,Depth -2%,Depth +2%
BROCK,BROCK,USDT,BROCKUSDT,0.00049,0.025,0.02009,2386108.05,47648.92423,0.02058,0.01878,0.0196,0.02006,0.0201,546.1,346.32
BNT,BNT,USDT,BNTUSDT,0.0145,0.0376,0.3996,138879.58,54268.0555,0.3996,0.3849,0.3851,0.3997,0.4,7382.73,8710.08
NTX,NTX,USDT,NTXUSDT,0.00134,0.0966,0.01521,1850291.59,26746.78765,0.01539,0.01362,0.01387,0.01531,0.01541,2389.51,2500.9
DEVVE,DEVVE,USDT,DEVVEUSDT,-0.008,-0.0126,0.6261,199066.67,122743.9944,0.6475,0.5852,0.6341,0.6257,0.6259,2410.51,1656.59
XOXNO,XOXNO,USDT,XOXNOUSDT,-0.00126,-0.0353,0.03435,4891077.05,168203.24886,0.03584,0.03219,0.03561,0.03429,0.03435,267.03,2780.69
HTR,HTR,USDT,HTRUSDT,0.00111,0.0402,0.02871,67492.35,1824.74217,0.02871,0.02671,0.0276,0.02859,0.02871,1645.74,1184.14
GQB,GQB,USDT,GQBUSDT,-0.000154,-0.066,0.002177,577614.48,1256.341972,0.002355,0.0021,0.002331,0.002165,0.002179,3.89,153.48
VOXEL,VOXEL,USDT,VOXELUSDT,-0.04526,-0.3813,0.07343,192033668.51,16800249.76436,0.12196,0.07136,0.11869,0.07321,0.07343,98263.22,62020.75
LVN,LVN,USDT,LVNUSDT,-0.00003,-0.0072,0.00409,16247789.53,66509.51974,0.0043,0.00391,0.00412,0.00403,0.00409,405.36,209.95
LOKA,LOKA,USDT,LOKAUSDT,0.01146,0.1529,0.08641,31084114.34,2581081.48127,0.09898,0.0711,0.07495,0.08576,0.08708,3827.38,2029.19
DEFI,DEFI,USDT,DEFIUSDT,-0.000163,-0.0746,0.002021,3948889.47,8103.086238,0.002184,0.00196,0.002184,0.002007,0.002022,310.4,545.21
TURBO,TURBO,USDC,TURBOUSDC,0.000196,0.0962,0.002233,635900604.61,1392313.675612,0.00233,0.002035,0.002037,0.002228,0.002242,14403.14,6089.57
SSE,SSE,USDT,SSEUSDT,0.000008,0.0009,0.008373,7394431.55,61716.873533,0.008936,0.00779,0.008365,0.008343,0.008417,12.53,23.94
F3,F3,USDT,F3USDT,0.00007,0.0183,0.00388,1203334.72,4685.69254,0.00413,0.00367,0.00381,0.00388,0.0039,187.58,613.84
TKAI,TKAI,USDT,TKAIUSDT,0.000053,0.0213,0.002533,14713403.05,37073.968852,0.002535,0.002469,0.00248,0.002528,0.002535,1711.89,2943.45
CATTON,CATTON,USDT,CATTONUSDT,-0.0000000006,-0.0037,0.0000001586,479227474825.2,75477.9972645832,0.0000001774,0.0000001529,0.0000001592,0.0000001585,0.0000001587,238.87,545.61
MANEKI,MANEKI,USDT,MANEKIUSDT,0.0001167,0.0631,0.0019641,94013250.76,178855.7027027,0.0021183,0.0017432,0.0018474,0.0019588,0.0019636,3348.57,1388.08
AR,AR,USDT,ARUSDT,0.222,0.0404,5.708,598681.18,3341520.971,5.729,5.435,5.486,5.702,5.71,31136.52,18614.58
BFIC,BFIC,USDT,BFICUSDT,0.007,0.0334,0.2165,261480.66,55271.1708,0.23,0.191,0.2095,0.2152,0.2165,50.94,3.89
SNT,SNT,USDT,SNTUSDT,-0.00092,-0.0376,0.02353,4007550.6,96187.25262,0.0249,0.02338,0.02445,0.02337,0.02353,1193.55,689.92
BAKE,BAKE,USDT,BAKEUSDT,0.0037,0.0298,0.1278,4117497.19,525070.6586,0.1306,0.123,0.1241,0.1277,0.1278,38887.16,69513.69
SWASH,SWASH,USDT,SWASHUSDT,-0.000024,-0.0056,0.004255,12352789.83,52396.833399,0.004282,0.004211,0.004279,0.004251,0.004259,56.41,201.55
IXS,IXS,USDT,IXSUSDT,0.0104,0.07,0.1588,107647.13,16737.8086,0.1639,0.1451,0.1484,0.1577,0.1589,1451.82,1666.7
ROAM,ROAM,USDT,ROAMUSDT,0.0168,0.0516,0.3421,6494681.13,2190157.5475,0.3589,0.3236,0.3253,0.3421,0.3424,20619.56,10681.39
EVER,EVER,USDT,EVERUSDT,0.00119,0.0932,0.01395,194495.66,2645.93044,0.01407,0.01267,0.01276,0.01392,0.014,170.48,151.24
RINGAI,RINGAI,USDT,RINGAIUSDT,0.00004,0.004,0.00989,27165.95,270.85997,0.01,0.00985,0.00985,0.00989,0.00993,90.11,367.95
HANDY,HANDY,USDT,HANDYUSDT,-0.0002883,-0.2004,0.00115,1042154.72,1306.8650204,0.0014383,0.0011024,0.0014383,0.001218,0.0012255,4.11,41.23
OZONE,OZONE,USDT,OZONEUSDT,-0.00000704,-0.0264,0.00025961,67395138.43,17969.16280896,0.00028167,0.00025683,0.00026665,0.00025932,0.00025961,93.3,21.9
TUA,TUA,USDT,TUAUSDT,0.0000028,0.028,0.0001028,4700035.25,477.0570358,0.0001049,0.0000989,0.0001,0.0001021,0.0001024,49.68,11.16
MYTH,MYTH,USDT,MYTHUSDT,-0.0043,-0.0292,0.1427,37762.13,5442.9326,0.1484,0.14,0.147,0.1417,0.142,2232.91,5924.82
GCOTI,GCOTI,USDT,GCOTIUSDT,-0.00024,-0.0174,0.01352,71573.47,973.95554,0.01456,0.01337,0.01376,0.0135,0.01353,9.05,6.81
MAIV,MAIV,USDT,MAIVUSDT,0.0000127,0.0402,0.000328,1923643.74,620.7688254,0.000328,0.0003152,0.0003153,0.0003254,0.0003276,5.34,375.08
OOKI,OOKI,USDT,OOKIUSDT,0.00000048,0.0111,0.00004355,1297373257.33,56506.50247202,0.00004551,0.00004101,0.00004307,0.00004352,0.00004355,134.24,1106.06
DF,DF,USDT,DFUSDT,0.00147,0.0264,0.05699,3177239.51,180234.94631,0.05795,0.05552,0.05552,0.05692,0.05698,11579.15,16765.98
BOSON,BOSON,USDT,BOSONUSDT,-0.00004,-0.0003,0.10204,69934.64,7138.13986,0.10589,0.097,0.10208,0.10163,0.10199,593.02,400.99
SKAI,SKAI,USDT,SKAIUSDT,0.00003,0.003,0.00997,366164.11,3677.69881,0.01027,0.00979,0.00994,0.01001,0.0101,1943.87,2272.01
DOLZ,DOLZ,USDT,DOLZUSDT,-0.00006,-0.0093,0.00634,4921613.79,31202.73311,0.0064,0.00628,0.0064,0.00633,0.00635,50.6,108.65
UBX,UBX,USDT,UBXUSDT,0.000000085,0.0211,0.000004099,25236415500,100729.946558486,0.000004483,0.000003747,0.000004014,0.000004082,0.000004106,457.01,14.38
VALOR,VALOR,USDT,VALORUSDT,0.000028,0.0127,0.00222,545043.77,1250.861266,0.002549,0.002149,0.002192,0.00222,0.002232,43.9,3.83
NFT,NFT,USDT,NFTUSDT,-0.0000000008,-0.0018,0.0000004218,130155630602,55382.7391437392,0.0000004287,0.0000004204,0.0000004226,0.0000004204,0.0000004236,8128.78,5652.66
GPTV,GPTV,USDT,GPTVUSDT,-0.000021,-0.0243,0.000841,53484887.76,45809.207532,0.000874,0.000838,0.000862,0.00084,0.000845,85.18,90.08
ALEO,ALEO,USDT,ALEOUSDT,-0.0385,-0.1236,0.2728,1630421.44,462359.0459,0.32,0.2601,0.3113,0.2732,0.2733,136531.62,110307.17
CATS,CATS,USDT,CATSUSDT,0.000000282,0.0372,0.000007858,8070863752.45,62703.613690629,0.000007949,0.00000756,0.000007576,0.000007853,0.000007892,2655.04,3350.54
FAT,FAT,USDT,FATUSDT,-0.000463,-0.0559,0.007817,11825262.59,92793.092053,0.009003,0.007081,0.00828,0.007817,0.007898,522.6,568.02
SCC,SCC,USDT,SCCUSDT,-0.00000017,-0.309,0.00000038,213091689838.03,85572.95379219,0.00000058,0.00000033,0.00000055,0.00000038,0.0000004,0,0
BERRY,BERRY,USDT,BERRYUSDT,0.0000006,0.0042,0.0001432,116978557.26,16815.3863271,0.0001459,0.0001417,0.0001426,0.0001431,0.0001451,153.66,214.53
INSP,INSP,USDT,INSPUSDT,-0.00012,-0.0172,0.00683,1055725.04,7103.84692,0.00696,0.00647,0.00695,0.00684,0.0069,2285.55,997.04
GHT,GHT,USDT,GHTUSDT,0.0007,0.0238,0.03,3350.27,98.93231,0.03,0.02658,0.0293,0.02785,0.03,0,0
ATRS,ATRS,USDT,ATRSUSDT,0.000021,0.0022,0.009557,201711.12,2015.389656,0.011053,0.009185,0.009536,0.009578,0.009635,31.67,4.18
IQ,IQ,USDT,IQUSDT,0.000081,0.0191,0.004316,78553740.33,336550.243559,0.00437,0.004186,0.004235,0.004313,0.004323,16490.38,20887.76
LYUM,LYUM,USDT,LYUMUSDT,0.000093,0.0672,0.001476,158588.08,214.894008,0.001484,0.001309,0.001383,0.001476,0.001484,24.26,21.58
GRIFFAIN,GRIFFAIN,USDT,GRIFFAINUSDT,0.0023,0.0786,0.03156,8390791.89,255576.02212,0.03243,0.02866,0.02926,0.03153,0.0316,75036.68,75408.57
NTRN,NTRN,USDT,NTRNUSDT,0.0057,0.0446,0.1335,1703995.07,224519.8059,0.1347,0.1275,0.1278,0.1336,0.1337,80305.31,56829.52
SEED,SEED,USDT,SEEDUSDT,-0.000428,-0.1095,0.00348,60212419.33,233228.299589,0.004248,0.003427,0.003908,0.003479,0.003481,351.72,1175.16
MORRA,MORRA,USDT,MORRAUSDT,-0.000119,-0.0676,0.00164,112463.53,171.297148,0.001759,0.001402,0.001759,0.00141,0.00164,0,0
MUBARAKAH,MUBARAKAH,USDT,MUBARAKAHUSDT,0.000036,0.0397,0.0009427,204347565.38,190053.3314642,0.0010666,0.0008609,0.0009067,0.0009394,0.0009433,992.45,1241.52
