symbol,timestamp,open,high,low,close,volume,pair
BROCKUSDT,2025-01-06,0.04305,0.04812,0.0388,0.03926,8554198.08,BROCK/USDT
BROCKUSDT,2025-01-13,0.03926,0.0882,0.03768,0.06926,21103713.33,BROCK/USDT
BROCKUSDT,2025-01-20,0.06926,0.0733,0.04895,0.05317,23094550.6,BROCK/USDT
BROCKUSDT,2025-01-27,0.05317,0.05357,0.03903,0.0395,10363147.86,BROCK/USDT
BROCKUSDT,2025-02-03,0.0395,0.05155,0.03418,0.04882,12048606.41,BROCK/USDT
BROCKUSDT,2025-02-10,0.04882,0.085,0.04256,0.04336,12489203.88,BROCK/USDT
BROCKUSDT,2025-02-17,0.04336,0.0482,0.03619,0.04088,14171538.86,BROCK/USDT
BROCKUSDT,2025-02-24,0.04088,0.04214,0.03067,0.03772,13587243.93,BROCK/USDT
BROCKUSDT,2025-03-03,0.03772,0.03908,0.02465,0.02516,13780450.8,BROCK/USDT
BROCKUSDT,2025-03-10,0.02516,0.0315,0.02235,0.02675,13051243.31,BROCK/USDT
BROCKUSDT,2025-03-17,0.02675,0.035,0.026,0.02846,16586178.18,BROCK/USDT
BROCKUSDT,2025-03-24,0.02846,0.03187,0.01828,0.02054,28267931.79,BROCK/USDT
BROCKUSDT,2025-03-31,0.02054,0.02379,0.01591,0.01741,28250277.66,BROCK/USDT
BROCKUSDT,2025-04-07,0.01741,0.02121,0.01553,0.02049,34620285.72,BROCK/USDT
BROCKUSDT,2025-04-14,0.02049,0.0217,0.01878,0.01969,12614901.93,BROCK/USDT
BROCKUSDT,2025-04-21,0.01969,0.02229,0.0186,0.02124,18282609.15,BROCK/USDT
BROCKUSDT,2025-04-28,0.02124,0.02811,0.02042,0.0219,26482805.26,BROCK/USDT
BROCKUSDT,2025-05-05,0.0219,0.02415,0.018,0.02311,38708732.81,BROCK/USDT
BNTUSDT,2025-01-06,0.7336,0.7562,0.6196,0.6347,183385.3,BNT/USDT
BNTUSDT,2025-01-13,0.6347,0.827,0.5844,0.6823,258470.04,BNT/USDT
BNTUSDT,2025-01-20,0.6823,0.7325,0.6569,0.6703,261604.98,BNT/USDT
BNTUSDT,2025-01-27,0.6703,0.6868,0.543,0.5644,265621.5,BNT/USDT
BNTUSDT,2025-02-03,0.5644,0.585,0.4528,0.5254,254528.8,BNT/USDT
BNTUSDT,2025-02-10,0.5254,0.5551,0.5002,0.5217,284653.05,BNT/USDT
BNTUSDT,2025-02-17,0.5217,0.5464,0.4996,0.5234,2852829.74,BNT/USDT
BNTUSDT,2025-02-24,0.5234,0.5248,0.4063,0.5031,6343629.27,BNT/USDT
BNTUSDT,2025-03-03,0.5031,0.5033,0.3977,0.4019,7196413.2,BNT/USDT
BNTUSDT,2025-03-10,0.4019,0.4245,0.3599,0.3878,5296779.55,BNT/USDT
BNTUSDT,2025-03-17,0.3878,0.4277,0.3869,0.4128,4254626.17,BNT/USDT
BNTUSDT,2025-03-24,0.4128,0.4681,0.4006,0.4064,6663101.45,BNT/USDT
BNTUSDT,2025-03-31,0.4064,0.4322,0.3419,0.3509,2748457.5,BNT/USDT
BNTUSDT,2025-04-07,0.3509,0.3852,0.3175,0.3659,4249094.18,BNT/USDT
BNTUSDT,2025-04-14,0.3659,0.393,0.3511,0.3883,4142956.82,BNT/USDT
BNTUSDT,2025-04-21,0.3883,0.463,0.3852,0.4461,1744050.54,BNT/USDT
BNTUSDT,2025-04-28,0.4461,0.4876,0.4408,0.458,2714367.14,BNT/USDT
BNTUSDT,2025-05-05,0.458,0.7039,0.4447,0.6784,4422221.48,BNT/USDT
NTXUSDT,2025-01-06,0.04208,0.04257,0.0311,0.03327,8326892.62,NTX/USDT
NTXUSDT,2025-01-13,0.03327,0.04,0.0296,0.03312,11728850.52,NTX/USDT
NTXUSDT,2025-01-20,0.03312,0.03523,0.0274,0.02774,9136554.61,NTX/USDT
NTXUSDT,2025-01-27,0.02774,0.02844,0.02241,0.02306,9105923.51,NTX/USDT
NTXUSDT,2025-02-03,0.02306,0.02414,0.01881,0.01965,8064668.99,NTX/USDT
NTXUSDT,2025-02-10,0.01965,0.02366,0.01948,0.01992,12496320.64,NTX/USDT
NTXUSDT,2025-02-17,0.01992,0.02132,0.01845,0.02015,4933925.72,NTX/USDT
NTXUSDT,2025-02-24,0.02015,0.025,0.01445,0.02476,15817441.38,NTX/USDT
NTXUSDT,2025-03-03,0.02476,0.02899,0.01698,0.01698,14068469.67,NTX/USDT
NTXUSDT,2025-03-10,0.01698,0.01819,0.0143,0.01599,10033586.93,NTX/USDT
NTXUSDT,2025-03-17,0.01599,0.01971,0.0155,0.0165,8074777.49,NTX/USDT
NTXUSDT,2025-03-24,0.0165,0.0187,0.01518,0.01572,9832067.9,NTX/USDT
NTXUSDT,2025-03-31,0.01572,0.01653,0.01155,0.01181,11551215.62,NTX/USDT
NTXUSDT,2025-04-07,0.01181,0.01301,0.01046,0.01235,17906554.13,NTX/USDT
NTXUSDT,2025-04-14,0.01235,0.01505,0.01199,0.01473,8744448.69,NTX/USDT
NTXUSDT,2025-04-21,0.01473,0.0185,0.01473,0.01776,13501625.88,NTX/USDT
NTXUSDT,2025-04-28,0.01776,0.01978,0.01695,0.01697,10666985.7,NTX/USDT
NTXUSDT,2025-05-05,0.01697,0.0224,0.01605,0.01968,27769421.82,NTX/USDT
DEVVEUSDT,2025-01-06,1.1495,1.7343,1.06,1.7074,1915119.09,DEVVE/USDT
DEVVEUSDT,2025-01-13,1.7074,1.8136,1.3,1.4503,2556513.22,DEVVE/USDT
DEVVEUSDT,2025-01-20,1.4503,1.588,1.0617,1.3809,2527878.85,DEVVE/USDT
DEVVEUSDT,2025-01-27,1.3809,1.65,1.1,1.2177,2239659.42,DEVVE/USDT
